Question,Answer
Explain the process of photosynthesis and its importance in the ecosystem.,Photosynthesis is the process by which green plants convert sunlight carbon dioxide and water into glucose and oxygen. It occurs in chloroplasts using chlorophyll. The light reactions happen in thylakoids producing ATP and NADPH while the Calvin cycle in the stroma fixes CO2 into glucose. It is vital because it produces oxygen for respiration and forms the base of food chains.
What is the difference between TCP and UDP protocols?,TCP is a connection-oriented protocol that ensures reliable ordered delivery of data through handshaking error checking and retransmission. UDP is connectionless and does not guarantee delivery or order making it faster but less reliable. TCP is used for web browsing and email while UDP is used for video streaming and online gaming where speed matters more than reliability.
Describe the SOLID principles in object-oriented programming.,SOLID stands for Single Responsibility Principle where a class should have one reason to change. Open-Closed Principle means classes should be open for extension but closed for modification. Liskov Substitution says subtypes must be substitutable for their base types. Interface Segregation means clients should not depend on interfaces they do not use. Dependency Inversion states high-level modules should depend on abstractions not concrete implementations.
What is normalization in databases and why is it important?,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity. First Normal Form eliminates repeating groups. Second Normal Form removes partial dependencies. Third Normal Form removes transitive dependencies. It is important because it prevents data anomalies during insertion update and deletion operations and ensures efficient storage.
Explain how a neural network learns through backpropagation.,Backpropagation is the algorithm used to train neural networks by computing gradients of the loss function with respect to each weight. During forward pass input data flows through layers producing an output. The loss is calculated comparing output to expected result. During backward pass the chain rule is applied to propagate error gradients back through the network. Weights are then updated using gradient descent to minimize the loss.
What are the different types of operating system scheduling algorithms?,Common scheduling algorithms include First Come First Served which processes jobs in order of arrival. Shortest Job First selects the process with smallest burst time. Round Robin assigns fixed time quantum to each process in circular order. Priority Scheduling assigns CPU based on priority values. Multilevel Queue divides ready queue into separate queues with different scheduling policies for each level.
Describe the CAP theorem in distributed systems.,The CAP theorem states that a distributed system can only guarantee two of three properties simultaneously Consistency Availability and Partition Tolerance. Consistency means all nodes see the same data at the same time. Availability means every request receives a response. Partition Tolerance means the system continues operating despite network partitions. In practice partition tolerance is required so systems must choose between consistency and availability.
What is the role of an API gateway in microservices architecture?,An API gateway acts as a single entry point for all client requests in a microservices architecture. It handles request routing by forwarding requests to appropriate services. It provides cross-cutting concerns like authentication rate limiting load balancing and logging. It can aggregate responses from multiple services into a single response. It also handles protocol translation and provides a simplified interface for clients.
Explain the concept of virtual memory in operating systems.,Virtual memory is a memory management technique that creates an illusion of a large contiguous memory space by using both RAM and disk storage. It uses paging or segmentation to divide memory into fixed-size pages or variable-size segments. The operating system maintains a page table mapping virtual addresses to physical addresses. When a page is not in RAM a page fault occurs and the OS loads it from disk. This allows running programs larger than physical memory.
What are design patterns and explain the Observer pattern with an example.,Design patterns are reusable solutions to commonly occurring problems in software design. The Observer pattern defines a one-to-many dependency between objects where when one object called the subject changes state all its dependents called observers are notified automatically. For example a news publisher subject maintains a list of subscribers observers. When new news is published all subscribers are automatically notified and can read the update.
